name,rest_type
Berrylicious Cafe,Cafe
Mamagoto,Casual Dining
Tayabbs,Quick Bites
Atty's Bakery,Bakery
Vijayalakshmi Veg,Quick Bites
Sahana's (Nati Style),Quick Bites
The Cake House,Bakery
Eden Park,Casual Dining
YumYumDilli,Delivery
Kanti Sweets,Sweet Shop
Kanti Sweets,Quick Bites
Rahhams,Casual Dining
Popat Juice Junction,Beverage Shop
Marzipan Cafe & Bakery,Cafe
Marzipan Cafe & Bakery,Bakery
Bozo's Yum Yums,Takeaway
Bozo's Yum Yums,Delivery
Skoolroom,Cafe
Pind Balluchi,Casual Dining
Cream Chemistry,Dessert Parlor
The Brekkie Shop,Takeaway
Maravanthe,Casual Dining
WAFL Café,Dessert Parlor
WAFL Café,Quick Bites
Haldiram's Express,Kiosk
Hotel Ramprasad,Quick Bites
The Chef's Cake & Bakes,Dessert Parlor
Anna Kuteera,Casual Dining
Indian Spice Food,Quick Bites
Wangs Kitchen,Casual Dining
Lassi Shop,Dessert Parlor
Lassi Shop,Beverage Shop
Kitchen of Joy,Quick Bites
Desi Vdesi,Quick Bites
Haji Ali Juice Centre,Quick Bites
Haji Ali Juice Centre,Beverage Shop
Domino's Pizza,Quick Bites
Mama Mia!,Dessert Parlor
Mama Mia!,Cafe
Shaadi Ki Biryani,Casual Dining
Taste of Nepal,Quick Bites
Shiro,Fine Dining
Shiro,Lounge
Five Star Chicken,Quick Bites
Thai House,Casual Dining
InnerChef,Delivery
Karavali Kolimane,Quick Bites
Roll Er Dokaan,Quick Bites
Durga Sagar,Quick Bites
Steaming Mugs,Cafe
NH7 Refuel,Quick Bites
Royanna Military Canteen,Quick Bites
Church Street Social,Lounge
Mad Over Donuts,Food Court
Sheesh Kebab,Casual Dining
Just Shawarma,Quick Bites
Bangaliana,Quick Bites
The Belgian Waffle Co.,Dessert Parlor
Slurpy Shakes,Takeaway
Slurpy Shakes,Delivery
Taco Bell,Quick Bites
Bangalore Masala House,Cafe
Classic Lassi Shop,Beverage Shop
Fruit Face,Quick Bites
Fruit Face,Beverage Shop
Sweet Truth,Delivery
Green Theory,Casual Dining
Green Theory,Cafe
Srinidhi Sagar Food Line,Quick Bites
Jars,Delivery
Pabrai's Fresh & Naturelle Icecreams,Dessert Parlor
Ibaco,Dessert Parlor
Sreeraj Lassi Bar,Beverage Shop
Hungerbreak 24x7,Delivery
The Egg Factory,Casual Dining
Firewood Biryani,Quick Bites
Sweet Chariot,Dessert Parlor
Venus Biryani,Quick Bites
Dolci Desserts,Cafe
Dolci Desserts,Dessert Parlor
Sangam Sweets,Sweet Shop
Container Coffee,Quick Bites
Kartik's Mithai Shoppe,Quick Bites
Kartik's Mithai Shoppe,Sweet Shop
Desi Deck,Casual Dining
Desi Deck,Bar
UBCR,Cafe
UBCR,Quick Bites
Hoppipola,Lounge
Hushy's Kitchen,Quick Bites
The Cake City,Quick Bites
The Cake City,Bakery
Hatti Kaapi,Quick Bites
Mount View Fast Food,Takeaway
Chichaba's Taj,Casual Dining
99 Pancakes,Dessert Parlor
Beijing Bites,Casual Dining
Kabab Korner,Casual Dining
Oh My Chaat,Quick Bites
YumYumSouth,Delivery
Foodhall,Casual Dining
Ciclo Cafe,Cafe
Ciclo Cafe,Casual Dining
Hotel Empark,Casual Dining
Wolf'ish,Cafe
Alibaba Cafe and Restaurant,Casual Dining
Infinitea Tea Room & Tea Store,Casual Dining
Infinitea Tea Room & Tea Store,Cafe
Goli Vada Pav No. 1,Quick Bites
Ooty Chocolates,Dessert Parlor
Arya Bhavan Sweets,Sweet Shop
Arya Bhavan Sweets,Quick Bites
Amande Patisserie,Bakery
Amande Patisserie,Dessert Parlor
Qissa Khawani,Casual Dining
Ayda Persian Kitchen,Casual Dining
Sri Krishna Sweets,Sweet Shop
Tewari Bros Mithai Shoppie,Sweet Shop
Kolkatta Famous Chat,Quick Bites
Cookie Man,Dessert Parlor
Cafe Coffee Day,Cafe
Kabab Mela,Quick Bites
Vinny's,Casual Dining
Sagar Delicacy,Casual Dining
Platter,Quick Bites
Savera Lassi Shop,Beverage Shop
The Adukkala Restaurant,Casual Dining
Carnival de Goa,Casual Dining
Carnival de Goa,Bar
McDonald's,Quick Bites
Northern Route,Quick Bites
Quench & Crunch,Beverage Shop
INDULGE by InnerChef,Bakery
The Open Box,Casual Dining
The Open Box,Bar
Double Decker,Bar
Double Decker,Casual Dining
Chickpet Donne Biryani House,Quick Bites
Toscano,Casual Dining
Foreign Café,Delivery
Dakshin Biryani & Tiffin,Casual Dining
Pizza Stop,Kiosk
Mudpipe Cafe,Cafe
Baskin Robbins,Dessert Parlor
Fabcafe,Cafe
Chocolate D'Luxe,Dessert Parlor
Chilli Chicken,Quick Bites
NoLimmits Lounge and Club,Club
Delisias,Bakery
Masale Daan,Delivery
Drunken Monkey,Beverage Shop
Drunken Monkey,Quick Bites
Mangalore pearl - Seafood Restaurant,Casual Dining
The Wok Shop,Quick Bites
Chaitanya Veg,Quick Bites
20 Feet High,Casual Dining
20 Feet High,Bar
World In A Bowl,Delivery
Bean Flickers,Cafe
7 Plates,Quick Bites
Munchies,Quick Bites
Munchies,Bakery
Supreme Biryani,Delivery
Rasovara,Casual Dining
Kenz Karam,Takeaway
Kenz Karam,Delivery
Kobe Sizzlers,Casual Dining
Cafe Idly,Quick Bites
Al Swaad Take Away,Quick Bites
Café Mor'ish,Cafe
Ambur Star Briyani,Casual Dining
Airlines Hotel,Quick Bites
Just Bake,Bakery
Pai Vihar,Quick Bites
Crunch Pizzas,Delivery
Eat At Nite,Takeaway
Eat At Nite,Delivery
Yauatcha Pâtisserie,Dessert Parlor
Frozen Bottle,Beverage Shop
Sri Udupi Park,Quick Bites
Ramji Chaiwale,Quick Bites
Gelato Italiano,Dessert Parlor
Gelato Italiano,Bakery
Chantilly,Cafe
Chantilly,Bakery
3 Spice,Casual Dining
Ghar Ka Bhojan,Delivery
Kolkata Famous Kati Rolls,Quick Bites
Cafe Terra,Cafe
Ascharya Hotel,Quick Bites
Cream Stone,Dessert Parlor
EatWater,Casual Dining
EatWater,Bar
The Coffee Bean & Tea Leaf,Cafe
Sherlock's Cafe,Cafe
Aubree,Cafe
Aubree,Bakery
Step Right Up,Cafe
Zaks Mediterranean Cuisine,Casual Dining
Paratha Xpress,Quick Bites
Meat And Eat,Quick Bites
The ThickShake Factory,Beverage Shop
The Chariot,Quick Bites
The J,Quick Bites
ZOROY Luxury Chocolate,Dessert Parlor
Kanteen 038,Quick Bites
Donne Biriyani Mane,Quick Bites
Desi Inn,Quick Bites
A2B - Adyar Ananda Bhavan,Casual Dining
Le Rock,Bar
Le Rock,Quick Bites
Bangalore Bytes,Quick Bites
Milk N Shakes,Beverage Shop
Siridhanya Upahara Darshini,Casual Dining
Hotel Chandrika,Casual Dining
Gowdru Hotel,Quick Bites
Cafe Braqa,Cafe
Naachiyar's,Casual Dining
Dindigul Thalappakatti,Casual Dining
BLOW,Cafe
Cobaja,Casual Dining
Brownie Heaven,Dessert Parlor
Bread and Circus,Cafe
Kadamba Foodline,Casual Dining
The Bundle Co.,Quick Bites
Tea Break Lounge,Quick Bites
The Grill House,Casual Dining
The Grill House,Bar
Mountain Spice,Quick Bites
Kabab Nation Corner,Quick Bites
Petoo,Casual Dining
The Grand Taj,Quick Bites
Kumbakonam Degree Coffee,Quick Bites
C Sharp Kitchen,Casual Dining
Nossa Goa,Casual Dining
Shyvan Restaurant,Casual Dining
Red Lantern,Casual Dining
ROYCE' Chocolate,Confectionery
Kitchen On Table,Casual Dining
Chung Wah Express,Casual Dining
Ujwal Restaurant,Casual Dining
GMT - Gelateria Montecatini Terme,Quick Bites
Trick Or Treat,Cafe
Kettle & Kegs,Delivery
Gokul Kuteera,Casual Dining
The Souk,Cafe
Cafe Imroze,Cafe
Cafe Imroze,Casual Dining
Caffe Maven,Quick Bites
Happy Belly Bakes,Cafe
Happy Belly Bakes,Bakery
Desi Streat,Food Court
Bubbles,Cafe
Popat,Quick Bites
Tea Journey,Cafe
Baba Da Dhaba,Casual Dining
China South,Casual Dining
Ging - Royal Orchid Central,Bar
Ging - Royal Orchid Central,Casual Dining
Masala Central,Quick Bites
Daily Bite,Quick Bites
Smokie Brownie,Cafe
All Saints Bakery,Bakery
Mezban Family Restaurant,Quick Bites
Driven Cafe,Cafe
Ta'aam,Casual Dining
Coastal Delight,Casual Dining
Tree Top,Casual Dining
Little White Kitchen,Quick Bites
UBQ by Barbeque Nation,Delivery
Taipan,Casual Dining
Penta Cafe,Quick Bites
Ideal Kitchen,Quick Bites
Tibbs Frankie,Quick Bites
Chef Baker's,Bakery
Chef Baker's,Kiosk
Ghar Ki Rasoi,Delivery
Chels Cafe,Cafe
Gelato Italiano,Dessert Parlor
OCEA HOTEL,Casual Dining
Vietnamese Kitchen,Casual Dining
Shadow Kolkata Katti Rolls & Momos,Quick Bites
L'inoui,Dessert Parlor
Yomama!!,Quick Bites
Troll,Dessert Parlor
Bhavani Sri,Casual Dining
Cafe Cerrise,Cafe
Meaza Ginger Multi Cuisine Restaurant,Casual Dining
Mamma Mexicana,Casual Dining
The Jungle Terrace,Casual Dining
Roll Junction,Quick Bites
Chutney Chang,Casual Dining
Amritsari Kulcha Bite,Quick Bites
Delices,Bakery
Meenu Oota Da Maane,Casual Dining
Gobble Up Churros Cafe,Casual Dining
Parathe Wali Gali,Quick Bites
Tempura Restaurant,Casual Dining
Choi Choi Momos,Kiosk
Red Onion,Casual Dining
Shalimar,Casual Dining
Deshi Fusion Pizza,Delivery
Indira Darshini,Quick Bites
Oh! Calcutta,Casual Dining
Oh! Calcutta,Bar
Panchavati Gaurav Thali,Casual Dining
Aagaman Veg,Casual Dining
Fatso's,Cafe
Salt Mango Tree,Casual Dining
MISU,Casual Dining
MISU,Bar
Mainland China,Casual Dining
Mainland China,Bar
Urban Solace - Café for the Soul,Cafe
Urban Solace - Café for the Soul,Casual Dining
RockSalt,Bar
RockSalt,Casual Dining
The Rice Bowl,Casual Dining
The Rice Bowl,Bar
South Inn,Quick Bites
Hashtag Cafe,Cafe
Kamat Minerva,Quick Bites
The Tao Terraces,Casual Dining
Pathy's Kitchen,Quick Bites
Happy Fillings,Quick Bites
Rotti Mane,Quick Bites
Shezan,Casual Dining
Omleterian,Delivery
Oye Amritsar,Casual Dining
Banjara Melting Pot,Casual Dining
Croons,Dessert Parlor
MiniMelts,Dessert Parlor
Tandoor,Fine Dining
Feast India Co.,Casual Dining
Hotel Green Tara,Casual Dining
The Biere Club,Pub
The Biere Club,Microbrewery
Bangalore Mandarin,Casual Dining
Rolls On Wheels,Quick Bites
Mahesh Lunch Home,Casual Dining
Bheema's,Casual Dining
Bon Sante,Cafe
Hatti Punjab Di,Quick Bites
Dine In,Quick Bites
Chung Wah,Casual Dining
Mad Over Biryani,Quick Bites
Danny Lambas Punjabi Dhaba,Casual Dining
Shiv Sager,Food Court
The Charcoal Factory,Quick Bites
Chung's Chinese Corner,Casual Dining
Kenny's Restaurant,Quick Bites
Fat Buddha,Casual Dining
Instant Noodle Doodle,Quick Bites
Teppan Japanese Grill & Sushi Bar,Casual Dining
New Prashanth Hotel,Casual Dining
Midnight Eats,Delivery
The Only Place,Casual Dining
Anupam's Coast II Coast,Casual Dining
BabaYaga's,Bar
BabaYaga's,Casual Dining
Goodness! Beverages,Takeaway
Goodness! Beverages,Delivery
Venkateshwara Foods,Takeaway
Venkateshwara Foods,Delivery
Kudla - Hotel Ramanashree,Casual Dining
Ramana's,Casual Dining
Ebony,Casual Dining
Arabian Tea,Beverage Shop
McLeans Italian Pizzeria,Delivery
The Konkan - Seafood Restaurant,Casual Dining
Hotel Ruchi Priya,Quick Bites
Hotel Tom's Restaurant,Casual Dining
The Bong,Quick Bites
Fujan,Casual Dining
Raaga,Casual Dining
The Food Dude,Delivery
Lazio Steaks & More,Casual Dining
The Humming Tree,Lounge
Woodstok,Takeaway
Woodstok,Delivery
ASEAN - On The Edge,Casual Dining
Chung Shan Chinese Restaurant,Quick Bites
Monsoon Express,Takeaway
Monsoon Express,Delivery
Friends Night Kitchen,Takeaway
Friends Night Kitchen,Delivery
Navab's,Delivery
Marathi Biriyani House,Quick Bites
Retro Lounge Bar,Bar
Kick Out the Jams,Delivery
Xian,Casual Dining
Kulfi Point,Dessert Parlor
8 Slice,Delivery
Crescent Avenue - Hotel Bangalore International,Casual Dining
New Kudla Family Resturant,Quick Bites
Mummy Dhaba,Quick Bites
Benjarong,Casual Dining
Midnight Hunger Solutions 24/7,Delivery
Ente Keralam,Casual Dining
Donne Biryani Mane,Quick Bites
Nagarjuna,Casual Dining
Sunny's,Casual Dining
Sunny's,Bar
Japan Travel Cafe Azuki,Cafe
Little Chef,Casual Dining
Canopy,Casual Dining
Cafe @ Elanza,Casual Dining
Cafe @ Elanza,Cafe
Rawal Jalebi,Dessert Parlor
Gundappa Donne Biryani,Quick Bites
Nandhini Paradise,Casual Dining
Nandhini Paradise,Bar
Aathithya,Casual Dining
Nagashree's,Casual Dining
Express Food Delivery,Delivery
Feast and Burp,Quick Bites
Gowdara Naati Mane,Quick Bites
Kamat's Palate Korner,Casual Dining
Norsha Caffe,Cafe
Cafe Treat - The Pride Hotel,Casual Dining
Bhagini Icon Boutique Hotel,Casual Dining
Armani Kabab Centre,Quick Bites
R.K Caterers,Quick Bites
Ghar Ki Rasoi,Delivery
Kaulige Millet Corner,Quick Bites
Ice & Spice,Takeaway
Ice & Spice,Delivery
Homemade Food,Takeaway
In Wok,Casual Dining
The Oriental Spice - Ashraya Hotel,Casual Dining
Aromas Of South,Casual Dining
Allana Kabab,Quick Bites
Home Treat,Quick Bites
Bhandary's Kitchen,Delivery
Parika Multicuisine Restaurant,Casual Dining
Tiger Trail - Ramada Hotel,Casual Dining
Tiger Trail - Ramada Hotel,Bar
Manjit Da Dhaba,Quick Bites
Halli Mane,Quick Bites
Taj Hotel,Casual Dining
Foody's,Quick Bites
Metro Military Hotel,Quick Bites
Masala Oota,Quick Bites
Kadai Crust - Amma Veetu Samayal,Takeaway
Kadai Crust - Amma Veetu Samayal,Delivery
Juice Shop,Quick Bites
Fava,Casual Dining
Fava,Bar
Amber Rush Restobar,Pub
Bootlegger,Pub
ThrowBack - Pub & Dine,Bar
ThrowBack - Pub & Dine,Casual Dining
Shaken & Stirred,Bar
Shaken & Stirred,Casual Dining
Sri Ayodhya Veg,Quick Bites
Hotel Fine,Casual Dining
Banashankri Donne Biriyani,Quick Bites
Hyderabad Biryaani House,Casual Dining
The Bangalore Cafe,Casual Dining
Truffles,Cafe
Café Felix,Casual Dining
Café Felix,Cafe
Sakae Japanese Restaurant,Casual Dining
Green Onion,Casual Dining
Art of Delight,Dessert Parlor
Cafe Kaara,Cafe
Khazana Food Paradise,Quick Bites
Little Green Cafe,Cafe
Little Green Cafe,Casual Dining
Mandarin Box,Quick Bites
Pashto,Casual Dining
Lakeview Milkbar,Dessert Parlor
Lakeview Milkbar,Cafe
Somilan Steak House,Casual Dining
IceBreakers,Dessert Parlor
Peppa Zzing,Cafe
Juice Junction,Quick Bites
KAARA BY THE LAKE,Cafe
Konark Vegetarian Restaurant,Casual Dining
Sugarberryz Cakery,Takeaway
Sugarberryz Cakery,Delivery
The Biryani Paradise,Quick Bites
Stars 'N' Stripes,Quick Bites
Revoli Hotel,Casual Dining
Juicemaker,Beverage Shop
New Prashanth Naati Style,Casual Dining
The Chocolate Heaven,Dessert Parlor
The Chocolate Heaven,Cafe
California Burrito,Quick Bites
Mel's Korner,Quick Bites
Iyengars' Bakery,Bakery
Sidewalk Cafe - Nahar's Heritage Hotel,Casual Dining
Mojo Pizza - 2X Toppings,Takeaway
Mojo Pizza - 2X Toppings,Delivery
Halli Oota,Casual Dining
Adda,Quick Bites
Pop'z Kitchen,Bakery
New Udupi Upahar,Quick Bites
Chai Ki Tapri,Cafe
Chocolate Junction,Dessert Parlor
Lassi House,Beverage Shop
Ultra Biriyani Paradise,Quick Bites
Nithyothsav - Hotel Ramanashree,Casual Dining
BISO - Citrus Hotels,Casual Dining
Khally Wally,Quick Bites
Stir Fry,Casual Dining
Natural Ice Cream,Dessert Parlor
New Arya Bhavan,Quick Bites
AM Biryani Junction,Quick Bites
Aruba's Lucknow Sheermal House,Quick Bites
Pappu BC,Quick Bites
VT Sindhur Veg,Casual Dining
Mughals Restaurant,Casual Dining
Indy's Comfort Food,Quick Bites
Just Baked,Bakery
Just Baked,Quick Bites
La Mirch,Delivery
Chaithanya Andhra Style Family Restaurant,Casual Dining
The Sugar Therapy,Dessert Parlor
The Sugar Therapy,Bakery
Al Sadique Restaurant,Quick Bites
Shake N Snack,Beverage Shop
New Kohinoor Hotel,Casual Dining
Little Bites,Cafe
Little Bites,Quick Bites
RR Catering,Quick Bites
Kanis Kitchen,Quick Bites
Hit and Run,Food Truck
Bhaiyajees,Takeaway
Bhaiyajees,Delivery
Le Chéri,Delivery
The Donut Baker,Bakery
The Donut Baker,Dessert Parlor
Cake of the Day,Bakery
Cake of the Day,Dessert Parlor
Bhaiya Ji Food Court,Quick Bites
The Bao Belly,Cafe
Rescafe,Quick Bites
Bhaiyaji Food Court,Quick Bites
Tandoor Da Funda,Quick Bites
Bhartiya Jalpan,Casual Dining
Batter Splatter,Bakery
Malabar Kitchen,Quick Bites
Vasudev Adiga's,Quick Bites
Skyline Family Restaurant,Casual Dining
Casa Express,Quick Bites
Pappu Chaiwalla,Quick Bites
The French Loaf,Bakery
The French Loaf,Quick Bites
Royal Tea House,Quick Bites
Fortune,Takeaway
Siddique Kabab Centre,Casual Dining
Akshaya Sambrama Veg Restaurant,Quick Bites
Nawab's Kolkatta Roll,Kiosk
Kamat Restaurant,Casual Dining
Royal Restaurant,Quick Bites
Shree Sadguru Refreshment,Quick Bites
Shan Restaurant,Casual Dining
Hotel Nisarga Grand,Casual Dining
Wow Tasty Food,Quick Bites
Baahubelly,Casual Dining
Kerala Kitchen,Quick Bites
Hatti Punjab Di,Casual Dining
Safa Hotel,Quick Bites
Hotel New Sagar,Quick Bites
Apsara Hotel,Quick Bites
Cool Corner Arun Ice Cream,Dessert Parlor
Deccan Spices,Quick Bites
Ambur Hot Dum Biryani,Quick Bites
Sri Rama,Quick Bites
Pooja Veg,Quick Bites
Magic Box,Takeaway
Magic Box,Delivery
Priya's Punjabi,Casual Dining
Hungry Birds,Delivery
Gowdara Naati Mane,Casual Dining
Funjabi,Casual Dining
Eatato Snack Bar,Casual Dining
Pinxx - Royal Orchid Central,Casual Dining
Zodiac - Fortune Select JP Cosmos Hotel,Casual Dining
Cafe Mangii,Casual Dining
Dunkin' Donuts,Quick Bites
Dunkin' Donuts,Dessert Parlor
Belgian Waffle Factory,Dessert Parlor
Delisias,Bakery
The Flying Squirrel,Cafe
XO Belgian Waffle,Food Court
All Saints Bakery,Bakery
Munchies,Quick Bites
Munchies,Bakery
Mad Over Donuts,Food Court
Pabrai's Fresh & Naturelle Icecreams,Dessert Parlor
Kanti Sweets,Sweet Shop
Kanti Sweets,Quick Bites
Keventers,Beverage Shop
Keventers,Dessert Parlor
Sweet Chariot,Bakery
Cookie Man,Dessert Parlor
Baskin Robbins,Dessert Parlor
Croons,Dessert Parlor
MiniMelts,Dessert Parlor
Gelato Italiano,Dessert Parlor
Lassi Shop,Beverage Shop
Snow Gola,Dessert Parlor
Mist N Creams,Dessert Parlor
Ibaco,Dessert Parlor
The Bangalore Cafe,Casual Dining
Green Theory,Casual Dining
Green Theory,Cafe
Alchemy - The Chancery Pavilion,Microbrewery
Alchemy - The Chancery Pavilion,Casual Dining
The White Room - Coffee & Kitchen,Cafe
Glen's Bakehouse,Bakery
Glen's Bakehouse,Cafe
Art of Delight,Dessert Parlor
Fabelle Chocolate Boutique - ITC Gardenia,Dessert Parlor
Bengaluru Baking Company - JW Marriott Bengaluru,Bakery
Bengaluru Baking Company - JW Marriott Bengaluru,Cafe
Bhagatram Sweets,Quick Bites
Fabcafe,Cafe
99 Pancakes,Dessert Parlor
Café Mor'ish,Cafe
Skoolroom,Cafe
Lakeview Milkbar,Dessert Parlor
Lakeview Milkbar,Cafe
GMT - Gelateria Montecatini Terme,Quick Bites
IceBreakers,Dessert Parlor
Corner House Ice Cream,Dessert Parlor
The Bengaluru Brasserie - Hyatt Centric MG Road,Casual Dining
Marzipan Cafe & Bakery,Cafe
Marzipan Cafe & Bakery,Bakery
Nossa Goa,Casual Dining
Happy Belly Bakes,Cafe
Happy Belly Bakes,Bakery
Amma's Pastries,Dessert Parlor
Koshy's,Bakery
Koshy's,Quick Bites
Haji Ali Juice Centre,Quick Bites
Haji Ali Juice Centre,Beverage Shop
The Waffle Press,Dessert Parlor
Amande Patisserie,Bakery
Amande Patisserie,Dessert Parlor
Sugar & Spice - Taj MG Road Bengaluru,Dessert Parlor
The Chocolate Heaven,Dessert Parlor
The Chocolate Heaven,Cafe
Anand Sweets and Savouries,Quick Bites
WAFL Café,Dessert Parlor
WAFL Café,Quick Bites
ROYCE' Chocolate,Confectionery
Rawal Jalebi,Dessert Parlor
Frozen Bottle,Beverage Shop
Fatima Bakery,Bakery
Fatima Bakery,Quick Bites
Tewari Bros Mithai Shoppie,Sweet Shop
Iyengars' Bakery,Bakery
Just Bake,Bakery
Just Bake,Quick Bites
Bowring Kulfi,Dessert Parlor
Yauatcha Pâtisserie,Dessert Parlor
Santhanam Sweets & Savouries,Sweet Shop
Smoor,Dessert Parlor
Sreeraj Lassi Bar,Beverage Shop
Pop'z Kitchen,Bakery
ZOROY Luxury Chocolate,Dessert Parlor
The Lobby Brew - Conrad Bengaluru,Cafe
Shilpa Veg,Quick Bites
Chocolate Junction,Dessert Parlor
The Cake House,Bakery
Chef Baker's,Bakery
Chef Baker's,Kiosk
Excelsior Bakery,Bakery
Drunken Monkey,Beverage Shop
Drunken Monkey,Quick Bites
The French Loaf,Bakery
The French Loaf,Quick Bites
Daily Bite,Quick Bites
Natural Ice Cream,Dessert Parlor
Delices,Bakery
Krispy Kreme,Dessert Parlor
Ooty Chocolates,Dessert Parlor
Surya Bakery,Bakery
Jai Mataji Farshan and Sweets,Sweet Shop
Jai Mataji Farshan and Sweets,Quick Bites
Aubree,Cafe
Aubree,Bakery
Up Bhavan,Sweet Shop
Ice N Spice,Dessert Parlor
Mishra Pedha,Sweet Shop
South Calcutta Sweets & Chat,Quick Bites
Just Baked,Bakery
Just Baked,Quick Bites
The Sugar Therapy,Dessert Parlor
The Sugar Therapy,Bakery
Delhi Bhavan,Quick Bites
S R & Sons Bakery,Dessert Parlor
Deli Counter - Gateway Hotel,Dessert Parlor
Brea,Bakery
Brea,Quick Bites
Le Chéri,Delivery
The Donut Baker,Bakery
The Donut Baker,Dessert Parlor
Bhaiyaji Food Court,Quick Bites
Arya Bhavan Sweets,Sweet Shop
Batter Splatter,Bakery
Sweet Truth,Delivery
The Belgian Waffle Co.,Dessert Parlor
Ganache - The Ritz-Carlton,Dessert Parlor
Berrylicious Cafe,Casual Dining
Berrylicious Cafe,Cafe
Hammered,Pub
Hammered,Cafe
Thom's Bakery,Bakery
Thom's Bakery,Quick Bites
Dolci Desserts,Cafe
Dolci Desserts,Dessert Parlor
The Culinarium,Cafe
The Culinarium,Dessert Parlor
L'inoui,Dessert Parlor
Brownie Heaven,Dessert Parlor
Cool Corner Arun Ice Cream,Dessert Parlor
Cake of the Day,Bakery
Cake of the Day,Dessert Parlor
Tea and Wine Lounge,Cafe
Cobaja,Casual Dining
Double Decker,Bar
Double Decker,Casual Dining
Hae Kum Gang,Casual Dining
Arbor Brewing Company,Pub
Arbor Brewing Company,Microbrewery
The Permit Room,Casual Dining
The Permit Room,Bar
ShakesBierre,Microbrewery
ShakesBierre,Casual Dining
NoLimmits Lounge and Club,Club
Empire Restaurant,Casual Dining
The Barn - Bar & Kitchen,Pub
Kitchen On Table,Casual Dining
Laughing Llama Gastropub,Bar
Laughing Llama Gastropub,Casual Dining
Kobe Sizzlers,Casual Dining
Plan B,Casual Dining
Plan B,Pub
Panchavati Gaurav Thali,Casual Dining
Pecos Classic,Pub
Pecos Classic,Casual Dining
Guzzlers Inn,Pub
Le Rock,Bar
Le Rock,Quick Bites
The Flying Squirrel,Cafe
Dakshin Restaurant,Casual Dining
Trick Or Treat,Cafe
Pizza Hut,Casual Dining
Fusion Lounge,Lounge
OCEA HOTEL,Casual Dining
Maravanthe,Casual Dining
Kaulige Millet Corner,Quick Bites
Thai House,Casual Dining
Baba Da Dhaba,Casual Dining
Fatso's,Cafe
The Chariot,Quick Bites
Yak's Kitchen,Quick Bites
The Adukkala Restaurant,Casual Dining
Saatvikk,Casual Dining
Haldiram's Express,Kiosk
China South,Casual Dining
Pind Balluchi,Casual Dining
Tempura Restaurant,Casual Dining
Desi Deck,Casual Dining
Desi Deck,Bar
The Jungle Terrace,Casual Dining
MoXa Bistro,Casual Dining
70 Brigade - Iris Hotel,Casual Dining
Flame Pub & Restaurant - Brigade Garden,Bar
Flame Pub & Restaurant - Brigade Garden,Casual Dining
Hashtag Cafe,Cafe
Masala Kitchen,Casual Dining
Hotel Shangrila,Casual Dining
Nawab's Kolkatta Roll,Kiosk
Shan Restaurant,Casual Dining
Hatti Punjab Di,Casual Dining
Baahubelly,Casual Dining
Smokie Brownie,Cafe
Cafe Coffee Day,Cafe
Monarch,Casual Dining
Hotel Green Tara,Casual Dining
Vinny's,Casual Dining
Eatato Snack Bar,Casual Dining
Bon Sante,Cafe
Meenu Oota Da Maane,Casual Dining
By Chance,Casual Dining
Dunkin' Donuts,Quick Bites
Dunkin' Donuts,Dessert Parlor
Taco Bell,Quick Bites
KFC,Quick Bites
Little White Kitchen,Quick Bites
Munchies,Quick Bites
Munchies,Bakery
Taste Of Tibet,Quick Bites
WOW! Momo,Food Court
WOW! Momo,Quick Bites
Yomama!!,Quick Bites
Kabab Nation Corner,Quick Bites
Subway,Quick Bites
Aaha Andhra,Food Court
Kerala Kitchen,Quick Bites
Juice Shop,Quick Bites
McDonald's,Quick Bites
Hotel Ramprasad,Quick Bites
Chilli Chicken,Quick Bites
Roll Er Dokaan,Quick Bites
Baskin Robbins,Dessert Parlor
DeCafe,Quick Bites
Home Treat,Quick Bites
Shadow Kolkata Katti Rolls & Momos,Quick Bites
Crazy Pizza,Food Court
Crazy Pizza,Quick Bites
Rolls On Wheels,Quick Bites
Hatti Punjab Di,Quick Bites
Dine In,Quick Bites
Bangalore Bytes,Quick Bites
Shiv Sager,Food Court
Chinese Corner,Quick Bites
Desi Streat,Food Court
Burger King,Food Court
Shawarma Inc,Food Court
The 13th Floor,Lounge
Chutney Chang,Casual Dining
Olive Bar And Kitchen,Casual Dining
Communiti,Microbrewery
Communiti,Casual Dining
Ebony,Casual Dining
Skyye,Lounge
Kazé,Fine Dining
JW Kitchen - JW Marriott Bengaluru,Fine Dining
Shiro,Fine Dining
Shiro,Lounge
Nagarjuna,Casual Dining
Yauatcha,Fine Dining
Hyderabad Biryaani House,Casual Dining
Brik Oven,Cafe
The Tao Terraces,Casual Dining
Farzi Cafe,Casual Dining
Farzi Cafe,Microbrewery
Rim Naam - The Oberoi,Fine Dining
Hard Rock Cafe,Casual Dining
Hard Rock Cafe,Bar
Karavalli - The Gateway Hotel,Fine Dining
MISU,Casual Dining
MISU,Bar
Bangalore Brew Works,Microbrewery
Bangalore Brew Works,Lounge
Church Street Social,Lounge
Fava,Casual Dining
Fava,Bar
Oh! Calcutta,Casual Dining
Oh! Calcutta,Bar
Soda Bottle Opener Wala,Casual Dining
Soda Bottle Opener Wala,Irani Cafee
Toast & Tonic,Casual Dining
The Bar Stock Exchange,Pub
The Bar Stock Exchange,Casual Dining
Caraway Kitchen - Conrad Bengaluru,Fine Dining
Sunny's,Casual Dining
Sunny's,Bar
Cafe Azzure,Cafe
The Bangalore Cafe,Casual Dining
