name,rest_type
Smacznego,Cafe
C Corner,Quick Bites
Paratha Merchant,Quick Bites
North Rasoe,Casual Dining
Inchara Restaurant,Quick Bites
Toscano,Casual Dining
Lord Of The Kitchen,Quick Bites
Stoned Monkey,Dessert Parlor
Central Jail Restaurant,Casual Dining
Bella,Casual Dining
Vennela Andhra Meals,Quick Bites
New Prashanth Hotel,Casual Dining
The Grillo,Casual Dining
Re Malnad Nati Style Hotel,Casual Dining
Karma Kaapi,Beverage Shop
Tiwari's,Quick Bites
Pizza Stop,Quick Bites
Biggies Burger 'n' More,Quick Bites
Srinathji's Cafe,Casual Dining
Srinathji's Cafe,Cafe
Kollapuri's,Quick Bites
Sugar Stars Co,Bakery
Kadamba Classic,Quick Bites
RS Shiv Sagar,Casual Dining
Kholi Mane,Quick Bites
Harshi Super Sandwich,Quick Bites
Cake Yard,Dessert Parlor
Rosewood International Hotel - Bar & Restaurant,Casual Dining
Cake Art,Bakery
Cake Art,Quick Bites
Aahar Cafe,Quick Bites
Potato House,Quick Bites
Hotel Biriyani Counter,Quick Bites
Matru Sagar,Quick Bites
Ugadi,Casual Dining
Sri Krishna Sweets,Sweet Shop
In Time Cane Juice,Beverage Shop
Subway,Quick Bites
Daal Roti,Quick Bites
The Lassi Park,Quick Bites
Cafe Coffee Day,Cafe
A2B - Adyar Ananda Bhavan,Casual Dining
Srikrishna Bhavan,Quick Bites
Timepass Dinner,Casual Dining
Green Gardenia,Casual Dining
J Spice,Casual Dining
Karavali Family Restaurant,Casual Dining
Karavali Lunch Home,Quick Bites
Hatti Kaapi,Quick Bites
Kolkata Kathi Roll's,Quick Bites
Upahara Darshini,Casual Dining
Anda Ka Funda,Quick Bites
Shri Vinayaka Ice N Juice,Quick Bites
My Tea House,Quick Bites
My Tea House,Cafe
Ibaco,Dessert Parlor
Jalaram Sweets,Sweet Shop
Samskruti - Sanman Gardenia,Casual Dining
Bendakaluru Bytes,Quick Bites
Cocoa Bakes,Bakery
Chumma Delicious,Quick Bites
New Prashanth Hotel,Casual Dining
Dwaraka Grand,Casual Dining
Gufha - The President Hotel,Casual Dining
Cafe Vivacity,Cafe
Tanna's Kitchen,Quick Bites
Shree Mandarathi Grand,Casual Dining
Mojo Pizza - 2X Toppings,Delivery
Iceberg Icecreams,Dessert Parlor
South Kitchen,Quick Bites
Chung Wah,Casual Dining
Shanthi Sagar,Casual Dining
Millet Mama,Quick Bites
Bangarpet Chat Express,Quick Bites
Prems Graama Bhojanam,Casual Dining
Java City,Cafe
Kamat Bugle Rock,Quick Bites
Woodee Pizza,Cafe
Puliyogare Point,Quick Bites
Bangalore Agarwal Bhavan,Quick Bites
Rustic Stove,Casual Dining
