name,cuisines
Parimala Sweets,Street Food
Vaishali Deluxe,North Indian
Vaishali Deluxe,Chinese
Chill Out,South Indian
Chill Out,Chinese
The Big O Bakes,Bakery
The Big O Bakes,Desserts
Meghana Foods,Biryani
Meghana Foods,North Indian
Meghana Foods,Chinese
Krishna Sagar,North Indian
Dessert Rose,Desserts
Chickpet Donne Biryani House,Biryani
Me And My Cake,Bakery
Me And My Cake,Desserts
Thanco's Natural Ice Creams,Ice Cream
Nandhini Deluxe,North Indian
Kaggis,Fast Food
Kaggis,Bakery
Ayda Persian Kitchen,North Indian
Ayda Persian Kitchen,Iranian
Chatar Patar,Fast Food
Chatar Patar,Street Food
Polar Bear,Ice Cream
Polar Bear,Desserts
Polar Bear,Beverages
Polar Bear,Sandwich
Kidambi's Kitchen,South Indian
Mane Thindi,South Indian
Kotian Karavali Restaurant,South Indian
Kotian Karavali Restaurant,Biryani
Floured-Baked With Love,Bakery
CAFE NOVA,Cafe
CAFE NOVA,Bakery
Cakes & Slices,Bakery
Cakes & Slices,Desserts
Spice 9,Biryani
Spice 9,North Indian
Spice 9,Chinese
Spice 9,Fast Food
Hari Super Sandwich,Sandwich
Hari Super Sandwich,Pizza
Hari Super Sandwich,Beverages
Atithi Point Ande Ka Funda,North Indian
Cake Bite,Bakery
Wood Stove,South Indian
K27 - The Pub,Chinese
K27 - The Pub,North Indian
Bengaluru Coffee House,South Indian
Bengaluru Coffee House,North Indian
Bengaluru Coffee House,Chinese
Bengaluru Coffee House,Street Food
Coffee Bytes,Fast Food
Coffee Bytes,South Indian
Parjanya Chat Zone,Street Food
Parjanya Chat Zone,Fast Food
Kwality Wall's Swirl's Happiness Station,Ice Cream
Kwality Wall's Swirl's Happiness Station,Desserts
Ruchi Maayaka,South Indian
Kaumudis Juoice,Beverages
Kaumudis Juoice,Fast Food
Kaumudis Juoice,Juices
Sri Murari Family Restaurant,Biryani
Anna Kuteera,South Indian
Anna Kuteera,North Indian
Anna Kuteera,Chinese
Darbar,North Indian
Darbar,Chinese
Vijayalakshmi,South Indian
Sri Udupi Food Hub,South Indian
Sri Udupi Food Hub,North Indian
Sri Udupi Food Hub,Chinese
Sri Udupi Food Hub,Beverages
Udupi Upahar,South Indian
Udupi Upahar,Chinese
Udupi Upahar,North Indian
Udupi Upahar,Juices
House Of Kebabs,North Indian
House Of Kebabs,Kebab
House Of Kebabs,Biryani
House Of Kebabs,Chinese
Roll N Rock,Chinese
Roll N Rock,North Indian
Roll N Rock,Mughlai
Roll N Rock,Rolls
BOX8- Desi Meals,North Indian
BOX8- Desi Meals,Mughlai
BOX8- Desi Meals,Fast Food
KFC,Burger
KFC,Fast Food
Bitez,Fast Food
Roll Over,Desserts
Roll Over,Ice Cream
Roll Over,Beverages
Roll Over,Fast Food
Roll Over,Sandwich
Imperial Restaurant,North Indian
Imperial Restaurant,Chinese
Imperial Restaurant,Biryani
Imperial Restaurant,Beverages
Lassi Shop,Beverages
Lassi Shop,Juices
Lassi Shop,Ice Cream
The Fortuna,North Indian
The Fortuna,Chinese
Wahab,North Indian
Wahab,Mughlai
Wahab,Chinese
Al Diwan Biryanis And More,Biryani
New Gowda's Fried Chicken,Biryani
Canton,Chinese
Canton,Seafood
Canton,Biryani
Diabetics Dezire Sugarless Sweets and Bakes,Desserts
Diabetics Dezire Sugarless Sweets and Bakes,Mithai
The Blue Wagon - Kitchen,Cafe
The Blue Wagon - Kitchen,Beverages
HOT COFFEE,South Indian
HOT COFFEE,Chinese
Patio 805,Thai
Patio 805,Vietnamese
Patio 805,Asian
Patio 805,Chinese
Lassi Corner,Beverages
Lassi Corner,Ice Cream
Sagar Deluxe,South Indian
Sagar Deluxe,North Indian
Sagar Deluxe,Chinese
Sagar Deluxe,Juices
Kanti Sweets,Mithai
Kanti Sweets,Street Food
Vegetalia,Italian
Vegetalia,Pizza
Aramane Donne Biryani,Biryani
Ande Ka Funda,North Indian
Ande Ka Funda,Fast Food
Ande Ka Funda,Rolls
Cake Ghar,Bakery
Energy Addaa,Salad
Energy Addaa,Healthy Food
Energy Addaa,Sandwich
Energy Addaa,Juices
Energy Addaa,Burger
Energy Addaa,Desserts
Energy Addaa,Pizza
Bhattara Bhojana,South Indian
Tandoori Knight,North Indian
Tandoori Knight,Chinese
Tandoori Knight,Biryani
Tandoori Knight,Kebab
Dev Sagar - Food Street,Street Food
Mitraa Da Pizza,Fast Food
Mitraa Da Pizza,Pizza
Paradise Premium,Biryani
Paradise Premium,Andhra
Paradise Premium,Hyderabadi
Paradise Premium,North Indian
Grazers,Cafe
Grazers,Burger
Grazers,Continental
Grazers,Italian
Grazers,Desserts
Shakes Theory,Beverages
Shakes Theory,Sandwich
@Italy,Italian
Chilli Flakes,Fast Food
Chilli Flakes,Italian
Chilli Flakes,Beverages
Calcutta Cafe,Bengali
Calcutta Cafe,Chinese
Calcutta Cafe,Sandwich
Old Mumbai Ice Cream,Ice Cream
Donne Biriyani House,South Indian
Donne Biriyani House,North Indian
Donne Biriyani House,Chinese
Donne Biriyani House,Biryani
By 2 Coffee,South Indian
Kedia's Fun Food,North Indian
Kedia's Fun Food,Street Food
Kedia's Fun Food,Juices
Davangere Butter Dosa Hotel,South Indian
Just Shawarma,Arabian
Mini Punjabi Dhaba,North Indian
Mulabagilu Dosa,South Indian
Café Down The Alley,Cafe
Gokul Veg,North Indian
Gokul Veg,Chinese
Gokul Veg,Beverages
Udupi Ruchi,South Indian
Udupi Ruchi,North Indian
Udupi Ruchi,Chinese
Udupi Ruchi,Street Food
Madhappa Hindu Military Hotel,South Indian
Gama Gama,South Indian
The Vintage Cafe,Cafe
The Vintage Cafe,French
The Vintage Cafe,North Indian
Pizza Hut,Pizza
Pizza Hut,Fast Food
Mangalore Pearl,Mangalorean
Mangalore Pearl,Seafood
Mangalore Pearl,Chinese
Mangalore Pearl,Biryani
Asha Sweets Centre,Fast Food
Twiststick House,Continental
Twiststick House,Fast Food
Twiststick House,Street Food
Twiststick House,Momos
Cool Corner,Street Food
Cool Corner,Fast Food
Pizza Mane,Pizza
Pizza Mane,Sandwich
Pizza Mane,Burger
Pizza Mane,Fast Food
Dal Tadkaa,North Indian
Chutney Chang,North Indian
Chutney Chang,Chinese
Chutney Chang,BBQ
Mystique Palate,Chinese
Mystique Palate,Fast Food
Thamboola,North Indian
Thamboola,Chinese
Thamboola,Continental
Castle Rock,North Indian
Castle Rock,Chinese
Vietnamese Kitchen,Vietnamese
Smacznego,Cafe
Smacznego,Mexican
Smacznego,Italian
Smacznego,Momos
Smacznego,Beverages
C Corner,Fast Food
C Corner,Street Food
Paratha Merchant,North Indian
North Rasoe,North Indian
North Rasoe,Chinese
North Rasoe,Biryani
North Rasoe,Kebab
Inchara Restaurant,North Indian
Inchara Restaurant,Chinese
Toscano,Italian
Toscano,Salad
Lord Of The Kitchen,North Indian
Lord Of The Kitchen,Chinese
Stoned Monkey,Desserts
Stoned Monkey,Ice Cream
Central Jail Restaurant,Andhra
Central Jail Restaurant,Seafood
Central Jail Restaurant,North Indian
Central Jail Restaurant,Chinese
Bella,Mangalorean
Bella,Seafood
Bella,South Indian
Vennela Andhra Meals,Andhra
New Prashanth Hotel,South Indian
New Prashanth Hotel,Biryani
New Prashanth Hotel,Chinese
New Prashanth Hotel,North Indian
The Grillo,South Indian
The Grillo,Arabian
The Grillo,Chinese
The Grillo,North Indian
The Grillo,Seafood
The Grillo,Mangalorean
Re Malnad Nati Style Hotel,South Indian
Karma Kaapi,Beverages
Karma Kaapi,Tea
Tiwari's,North Indian
Tiwari's,Street Food
Pizza Stop,Pizza
Pizza Stop,Italian
Biggies Burger 'n' More,Cafe
Biggies Burger 'n' More,Burger
Biggies Burger 'n' More,Beverages
Srinathji's Cafe,North Indian
Srinathji's Cafe,Cafe
Srinathji's Cafe,Chinese
Srinathji's Cafe,Fast Food
Kollapuri's,South Indian
Kollapuri's,Mangalorean
Sugar Stars Co,Bakery
Sugar Stars Co,Desserts
Kadamba Classic,South Indian
RS Shiv Sagar,North Indian
RS Shiv Sagar,Chinese
RS Shiv Sagar,South Indian
RS Shiv Sagar,Fast Food
RS Shiv Sagar,Juices
Kholi Mane,Andhra
Kholi Mane,South Indian
Kholi Mane,Biryani
Kholi Mane,North Indian
Harshi Super Sandwich,Fast Food
Harshi Super Sandwich,Street Food
Cake Yard,Desserts
Rosewood International Hotel - Bar & Restaurant,North Indian
Rosewood International Hotel - Bar & Restaurant,South Indian
Rosewood International Hotel - Bar & Restaurant,Andhra
Rosewood International Hotel - Bar & Restaurant,Chinese
Cake Art,Bakery
Aahar Cafe,South Indian
Potato House,Street Food
Hotel Biriyani Counter,North Indian
Hotel Biriyani Counter,Chinese
Hotel Biriyani Counter,Biryani
Matru Sagar,South Indian
Matru Sagar,North Indian
Ugadi,North Indian
Ugadi,Chinese
Ugadi,Biryani
Ugadi,Andhra
Ugadi,Mangalorean
Sri Krishna Sweets,Mithai
Sri Krishna Sweets,Desserts
In Time Cane Juice,Juices
In Time Cane Juice,Beverages
Subway,Salad
Subway,Fast Food
Daal Roti,North Indian
Daal Roti,Chinese
The Lassi Park,Juices
The Lassi Park,Desserts
Cafe Coffee Day,Cafe
Cafe Coffee Day,Fast Food
A2B - Adyar Ananda Bhavan,South Indian
A2B - Adyar Ananda Bhavan,North Indian
A2B - Adyar Ananda Bhavan,Chinese
A2B - Adyar Ananda Bhavan,Street Food
Srikrishna Bhavan,South Indian
Srikrishna Bhavan,North Indian
Srikrishna Bhavan,Chinese
Timepass Dinner,North Indian
Green Gardenia,North Indian
Green Gardenia,Chinese
J Spice,North Indian
J Spice,Chinese
Karavali Family Restaurant,Seafood
Karavali Family Restaurant,Biryani
Karavali Family Restaurant,South Indian
Karavali Family Restaurant,North Indian
Karavali Family Restaurant,Chinese
Karavali Lunch Home,South Indian
Karavali Lunch Home,Mangalorean
Hatti Kaapi,South Indian
Hatti Kaapi,Beverages
Kolkata Kathi Roll's,Fast Food
Kolkata Kathi Roll's,Rolls
Upahara Darshini,North Indian
Upahara Darshini,Chinese
Upahara Darshini,South Indian
Upahara Darshini,Fast Food
Anda Ka Funda,North Indian
Anda Ka Funda,Chinese
Anda Ka Funda,Rolls
Shri Vinayaka Ice N Juice,Beverages
Shri Vinayaka Ice N Juice,Fast Food
My Tea House,Italian
My Tea House,Fast Food
My Tea House,Cafe
My Tea House,European
Ibaco,Desserts
Jalaram Sweets,Desserts
Jalaram Sweets,Mithai
Samskruti - Sanman Gardenia,North Indian
Samskruti - Sanman Gardenia,Chinese
Samskruti - Sanman Gardenia,South Indian
Bendakaluru Bytes,Fast Food
Cocoa Bakes,Bakery
Cocoa Bakes,Desserts
Chumma Delicious,South Indian
Chumma Delicious,Fast Food
New Prashanth Hotel,Biryani
New Prashanth Hotel,North Indian
New Prashanth Hotel,Seafood
New Prashanth Hotel,Andhra
Dwaraka Grand,South Indian
Dwaraka Grand,Chinese
Dwaraka Grand,Street Food
Dwaraka Grand,Juices
Gufha - The President Hotel,North Indian
Gufha - The President Hotel,Afghani
