name,cuisines
Kaati Zone,Fast Food
Kaati Zone,Biryani
Kaati Zone,Rolls
The Paratha Company,North Indian
Enchanted Garden,North Indian
Enchanted Garden,Continental
Enchanted Garden,Italian
Enchanted Garden,Cafe
Imperial Restaurant,Biryani
Imperial Restaurant,Mughlai
Imperial Restaurant,Chinese
Imperial Restaurant,Arabian
Chatora,North Indian
Chatora,Fast Food
Chatora,Street Food
Firangi Bake,Mexican
Firangi Bake,Italian
FreshMenu,Healthy Food
FreshMenu,Chinese
FreshMenu,Biryani
FreshMenu,North Indian
FreshMenu,Continental
FreshMenu,Salad
FreshMenu,American
FreshMenu,Burger
Meghana Foods Grand,Biryani
Meghana Foods Grand,Seafood
Meghana Foods Grand,Andhra
Meghana Foods Grand,North Indian
Burger King,Burger
Burger King,Fast Food
Burger King,Beverages
Foodism,North Indian
Foodism,Chinese
HOMMS,Chinese
HOMMS,Beverages
HOMMS,Momos
HOMMS,Thai
Chakh Le India,North Indian
Chakh Le India,Chinese
Chakh Le India,Rolls
Juice Berg,Beverages
Juice Berg,Fast Food
Salem Kitchen,Chettinad
Salem Kitchen,Chinese
Salem Kitchen,South Indian
Pizza Hut,Pizza
Artinci Artisanal Ice Cream,Desserts
Artinci Artisanal Ice Cream,Ice Cream
Amanthrana Gardenia,North Indian
Amanthrana Gardenia,Andhra
Amanthrana Gardenia,BBQ
Amanthrana Gardenia,Seafood
Amanthrana Gardenia,Chinese
M.M.A. Kabab's & Biriyani Center,Arabian
M.M.A. Kabab's & Biriyani Center,Mughlai
M.M.A. Kabab's & Biriyani Center,Chinese
M.M.A. Kabab's & Biriyani Center,Kebab
M.M.A. Kabab's & Biriyani Center,Fast Food
Samosa Singh,Street Food
Samosa Singh,Fast Food
Samosa Singh,Rolls
Samosa Singh,Desserts
The Early bell,North Indian
The Early bell,Chinese
Faasos,North Indian
Faasos,Biryani
Faasos,Fast Food
Maria Taste Circle,South Indian
Maria Taste Circle,North Indian
Maria Taste Circle,Kerala
Maria Taste Circle,Seafood
Hotel Salala,North Indian
Hotel Salala,South Indian
Hotel Salala,Chinese
Hotel Salala,Biryani
Punjabi Tasty Khana,North Indian
Punjabi Tasty Khana,Chinese
Punjabi Tasty Khana,Biryani
Maa Bhook Lagi,North Indian
A2B - Adyar Ananda Bhavan,South Indian
A2B - Adyar Ananda Bhavan,North Indian
A2B - Adyar Ananda Bhavan,Chinese
A2B - Adyar Ananda Bhavan,Street Food
Palos,Chinese
Palos,North Indian
Dodda Mane Donne Biryani,Biryani
Dodda Mane Donne Biryani,Beverages
Dodda Mane Donne Biryani,South Indian
Chatpatlal Sweets & Snacks,Street Food
Chatpatlal Sweets & Snacks,Mithai
Chatpatlal Sweets & Snacks,North Indian
Chatpatlal Sweets & Snacks,Beverages
Chatpatlal Sweets & Snacks,Desserts
Shan-e-Punjabi Express,North Indian
Paradise,Biryani
Paradise,North Indian
Paradise,Kebab
Fujian Express,Chinese
Fujian Express,Thai
Le Gateau - The Cake Shop,Desserts
Le Gateau - The Cake Shop,Bakery
Mou Tushi Family Restaurant,Bengali
Mou Tushi Family Restaurant,Oriya
Mou Tushi Family Restaurant,Chinese
Mou Tushi Family Restaurant,North Indian
Corner House Ice Cream,Ice Cream
Corner House Ice Cream,Desserts
Aditya Sweets,Mithai
Aditya Sweets,Fast Food
Karma Foods,North Indian
Karma Foods,Chinese
Stonelicious,Desserts
Stonelicious,Ice Cream
Udupi Delux,South Indian
Udupi Delux,North Indian
Udupi Delux,Chinese
Kritunga Restaurant,Andhra
Kritunga Restaurant,Biryani
Kritunga Restaurant,North Indian
Kritunga Restaurant,Chinese
Rekha Restaurant,North Indian
Rekha Restaurant,Chinese
Cold Stone Creamery,Ice Cream
Cold Stone Creamery,Desserts
Desi Foodizzz,North Indian
Desi Foodizzz,Chinese
Foodies Delight,North Indian
Foodies Delight,Fast Food
Foodies Delight,Beverages
Sri Udupi Park,South Indian
Sri Udupi Park,North Indian
Sri Udupi Park,Chinese
Midas Touch,Bakery
Midas Touch,Fast Food
Midas Touch,Desserts
Mandya Gowdru Hotel,South Indian
Venice Kerala Restaurant,Kerala
Ovenstory Pizza,Pizza
Biggies Burger 'n' More,Cafe
Biggies Burger 'n' More,Burger
Biggies Burger 'n' More,Beverages
TBC - The Breakfast Company,Bihari
TBC - The Breakfast Company,North Indian
TBC - The Breakfast Company,South Indian
Shanmukha,Biryani
Shanmukha,Andhra
Shanmukha,North Indian
Shanmukha,Chinese
Office Lunch Box,Andhra
Office Lunch Box,North Indian
Desi Khana,North Indian
Skandas Veg Restaurant,South Indian
Skandas Veg Restaurant,North Indian
Orchard Fresh,Ice Cream
Orchard Fresh,Desserts
Waffle Square,Desserts
Waffle Square,Beverages
Waffle Square,Ice Cream
Red Chilli,Chinese
Red Chilli,Thai
Om Sweets & Fast Food,North Indian
Om Sweets & Fast Food,Chinese
Om Sweets & Fast Food,Mithai
Mast Kalandar,North Indian
Onesta,Pizza
Onesta,Cafe
Onesta,Italian
New Ambur Hot Dum Biryani,Biryani
Chatpata,Street Food
Andhra Spices,Andhra
Andhra Spices,Chinese
Andhra Spices,South Indian
CocoFresh,Beverages
Nirvana,North Indian
Nirvana,Chinese
U.P. Dhaba,North Indian
U.P. Dhaba,Chinese
KFC,Burger
KFC,Fast Food
Windy- Taste Of Home,North Indian
Dunkin' Donuts,Burger
Dunkin' Donuts,Desserts
Dunkin' Donuts,Fast Food
Expresso Restaurant,Fast Food
Expresso Restaurant,Beverages
Brew and Barbeque - A Microbrewery Pub,Continental
Brew and Barbeque - A Microbrewery Pub,North Indian
Brew and Barbeque - A Microbrewery Pub,BBQ
Brew and Barbeque - A Microbrewery Pub,Steak
Al-Bek,Biryani
Al-Bek,North Indian
Al-Bek,Charcoal Chicken
Al-Bek,Chinese
Al-Bek,Seafood
Al-Bek,Rolls
Ganesh Bhavan,South Indian
Abhiruchi Andhra Mess,Andhra
Abhiruchi Andhra Mess,Biryani
Abhiruchi Andhra Mess,South Indian
WOW! Momo,Tibetan
WOW! Momo,Momos
Punjabi Twist,North Indian
Sidewalk - The Garden Bar,North Indian
Sidewalk - The Garden Bar,Continental
Sidewalk - The Garden Bar,Chinese
Sidewalk - The Garden Bar,Thai
Shreeji Restaurant,North Indian
Shreeji Restaurant,Gujarati
Chaat Street,Street Food
Chaat Street,North Indian
Thalassery Restaurant,Kerala
Thalassery Restaurant,Biryani
Thalassery Restaurant,South Indian
Thalassery Restaurant,North Indian
Thalassery Restaurant,Chinese
Thalassery Restaurant,Arabian
Thalassery Restaurant,Beverages
Beijing Bites,Chinese
Beijing Bites,Thai
Beijing Bites,Momos
North Wale Restaurant,North Indian
North Wale Restaurant,Chinese
An Egg Story,Cafe
An Egg Story,Continental
An Egg Story,American
An Egg Story,Italian
Radha Rani,Bengali
Radha Rani,North Indian
Radha Rani,Chinese
Chickpet Donne Biryani House,Biryani
Chickpet Donne Biryani House,South Indian
Chickpet Donne Biryani House,Fast Food
Nandini Deluxe,North Indian
Nandini Deluxe,Chinese
Sorse,Bengali
Sorse,Seafood
Nizam's Biryani House,North Indian
Nizam's Biryani House,Biryani
Cake Menu,Bakery
WAH MOMO,Tibetan
Le Charcoal,Arabian
Le Charcoal,Lebanese
Le Charcoal,Mughlai
Le Charcoal,North Indian
Le Charcoal,BBQ
Delhi Walle,North Indian
Delhi Walle,Street Food
Lassi Corner,Beverages
Lassi Corner,Desserts
Delhi Kitchen,North Indian
Nandighosha,Bengali
Nandighosha,Seafood
Nandighosha,Oriya
Nandighosha,North Indian
Nandighosha,Biryani
Coastal Hub,Kerala
Coastal Hub,Seafood
Coastal Hub,Chinese
Shyam's Lunch Box,Biryani
Shyam's Lunch Box,South Indian
Shyam's Lunch Box,Chinese
Shyam's Lunch Box,North Indian
Shyam's Lunch Box,Arabian
Shyam's Lunch Box,Hyderabadi
Andhra Biryanis,Andhra
Andhra Biryanis,Biryani
Andhra Biryanis,North Indian
Raj Donne Biriyani,South Indian
Raj Donne Biriyani,Biryani
Suryawanshi,Maharashtrian
Suryawanshi,Seafood
9D Foods,North Indian
9D Foods,Street Food
Behrouz Biryani,Biryani
Estaa Sweets,Mithai
The Fat Chef,Japanese
The Fat Chef,Italian
The Fat Chef,American
The Fat Chef,Asian
The Fat Chef,North Indian
The Fat Chef,Steak
Bloomsbury's Global Kitchen & Bakehouse,American
Bloomsbury's Global Kitchen & Bakehouse,Cafe
Bloomsbury's Global Kitchen & Bakehouse,Continental
Bloomsbury's Global Kitchen & Bakehouse,French
Bloomsbury's Global Kitchen & Bakehouse,Burger
Bloomsbury's Global Kitchen & Bakehouse,Mexican
Bloomsbury's Global Kitchen & Bakehouse,Desserts
Bloomsbury's Global Kitchen & Bakehouse,Pizza
New Paratha Corner,North Indian
The Egg Factory,Continental
The Egg Factory,American
Daily Sushi,Korean
Daily Sushi,Sushi
AKS Family Dhaba And Restaurant,North Indian
AKS Family Dhaba And Restaurant,Mughlai
AKS Family Dhaba And Restaurant,South Indian
Punjabi Kitchen,Chinese
Punjabi Kitchen,North Indian
Bahar Cafe,Andhra
Bahar Cafe,Biryani
Bahar Cafe,Chinese
Bahar Cafe,Hyderabadi
Bahar Cafe,North Indian
Bahar Cafe,South Indian
Boondock Bistro,Steak
Boondock Bistro,Continental
Boondock Bistro,American
Boondock Bistro,Italian
Boondock Bistro,Salad
Boondock Bistro,Cafe
UBQ by Barbeque Nation,North Indian
UBQ by Barbeque Nation,BBQ
UBQ by Barbeque Nation,Biryani
UBQ by Barbeque Nation,Kebab
Sri Udupi Park,South Indian
Sri Udupi Park,North Indian
Sri Udupi Park,Chinese
Sri Udupi Park,Beverages
Healthie,Healthy Food
Healthie,Beverages
Omleterian,American
Omleterian,Continental
Cakesta,Bakery
Cakesta,Desserts
Mani's Dum Biryani,Biryani
Mani's Dum Biryani,Kebab
Kshatriya's Kitchen,Andhra
Kshatriya's Kitchen,South Indian
Rayalaseema Chefs,North Indian
Rayalaseema Chefs,Biryani
Rayalaseema Chefs,Andhra
Rayalaseema Chefs,Chinese
Biryani Paradise,Andhra
Biryani Paradise,Biryani
Bangaliana,Bengali
Litti House,North Indian
Litti House,Bihari
Litti House,Rajasthani
Kalla's Restaurant,North Indian
Kalla's Restaurant,Juices
Tim Cafe,Cafe
Tim Cafe,Sandwich
Tim Cafe,Beverages
Sherlock's Pub,Continental
Sherlock's Pub,North Indian
Sherlock's Pub,Chinese
Leon Grill,Turkish
Leon Grill,Arabian
Leon Grill,Fast Food
Leon Grill,Salad
Leon Grill,Healthy Food
Leon Grill,Desserts
Koylas,Kebab
Koylas,Mughlai
Koylas,Biryani
Green Hyderabad Biryani House,Biryani
Green Hyderabad Biryani House,Hyderabadi
Green Hyderabad Biryani House,Andhra
Green Hyderabad Biryani House,North Indian
Cafesta,Cafe
Cafesta,Italian
Cafesta,Fast Food
Cafesta,Desserts
Nagas,Andhra
Nagas,South Indian
Nagas,Hyderabadi
YumYumDilli,North Indian
Slurpy Shakes,Beverages
Lassi Shop,Beverages
Lassi Shop,Ice Cream
Taste Of India Family Restaurant,North Indian
Hyderabad Biryaani House,Biryani
Hyderabad Biryaani House,North Indian
Hyderabad Biryaani House,Chinese
Chefactory Gold by Flechazo,North Indian
Chefactory Gold by Flechazo,Biryani
R R Noodles Express,Chinese
Biryani Feast,Biryani
Biryani Feast,North Indian
Biryani Feast,Chinese
Chulha Chauki Da Dhaba,North Indian
RoadHouse Grill,North Indian
RoadHouse Grill,Fast Food
RoadHouse Grill,Burger
RoadHouse Grill,BBQ
Chai Point,Tea
Chai Point,Beverages
Chai Point,Fast Food
eat.fit,Healthy Food
eat.fit,North Indian
eat.fit,Biryani
eat.fit,Continental
eat.fit,Sandwich
eat.fit,Desserts
You Mee,Sushi
You Mee,Japanese
You Mee,Chinese
You Mee,Thai
Special Biryani House,North Indian
Special Biryani House,Biryani
Special Biryani House,Chinese
Akshara,South Indian
Akshara,Kerala
Akshara,Andhra
Spellbound,Street Food
Spellbound,Burger
Spellbound,Beverages
Spellbound,Fast Food
Spellbound,Sandwich
Spellbound,Finger Food
Sri Rajalakshmi Sweets,Mithai
Sri Rajalakshmi Sweets,Street Food
Foxtrot,North Indian
Foxtrot,Chinese
Foxtrot,Continental
Foxtrot,Momos
Just Shawarma,Arabian
Namma Madurai,South Indian
Just Bake,Bakery
Just Bake,Desserts
BIB-Breakfast in the Box,American
BIB-Breakfast in the Box,Sandwich
Cupcake Bliss,Bakery
Nagas,Andhra
Nagas,Hyderabadi
Nagas,North Indian
Estaa Sweets,Mithai
Estaa Sweets,Desserts
Mugs N Burgers,Cafe
Mugs N Burgers,Burger
Mugs N Burgers,Chinese
Mugs N Burgers,Fast Food
Mugs N Burgers,Beverages
nu.tree,North Indian
nu.tree,Healthy Food
nu.tree,Beverages
Hyderabad Chefs,Hyderabadi
Hyderabad Chefs,Andhra
Hyderabad Chefs,North Indian
Hyderabad Chefs,Chinese
Hyderabad Chefs,South Indian
Dil Se Dilli,North Indian
Dil Se Dilli,Mughlai
Rajdhani Thali Restaurant,North Indian
Barkaas,Arabian
Barkaas,Biryani
Barkaas,Desserts
Barkaas,Beverages
Barkaas,Salad
Khan Saheb Grills and Rolls,Fast Food
Khan Saheb Grills and Rolls,Rolls
Simhapuri Kitchen,Andhra
Simhapuri Kitchen,Biryani
Simhapuri Kitchen,Chinese
Simhapuri Kitchen,South Indian
Bobacha,Beverages
Bobacha,Bubble Tea
Bobacha,Tea
Punjab Grill,North Indian
Biryani Kitchen,Biryani
Palak Ande Ka Funda,North Indian
Chaat Bazaar,Street Food
The Farm House Bar n Grill,North Indian
The Farm House Bar n Grill,Continental
Odisha Platter,Oriya
Goli Vada Pav No. 1,Street Food
Desi Bites,North Indian
Keventers,Desserts
Keventers,Beverages
Keventers,Ice Cream
@ Biryani Central,Biryani
@ Biryani Central,Mughlai
@ Biryani Central,Chinese
@ Biryani Central,North Indian
Bangalore Mandarin,Chinese
Bangalore Mandarin,Seafood
Masala Chai,Beverages
Masala Chai,Fast Food
Masala Chai,Tea
Chatpata India,North Indian
Oliver's Pub & Diner,Finger Food
Oliver's Pub & Diner,American
Oliver's Pub & Diner,Continental
Oliver's Pub & Diner,Burger
Oliver's Pub & Diner,Pizza
Biriyani Zone,Biryani
Biriyani Zone,North Indian
Biriyani Zone,Chinese
Biriyani Zone,Seafood
New Punjabi Tasty Khana,North Indian
New Punjabi Tasty Khana,Biryani
New Punjabi Tasty Khana,Chinese
Desi Khana,North Indian
Desi Khana,Chinese
Glen's Bakehouse,Bakery
Glen's Bakehouse,Cafe
Glen's Bakehouse,Italian
Glen's Bakehouse,Desserts
Chin Chin by The Biere Club,Asian
Stoner,Ice Cream
Stoner,Cafe
Stoner,Pizza
Stoner,Burger
Stoner,Desserts
Stoner,Beverages
Cafe Xtasi,Pizza
NH8,Rajasthani
Cake Dilim,Bakery
Toscano,Italian
Toscano,Salad
Kerala Restaurant,Kerala
Kerala Restaurant,Biryani
Real Fresh Dosa Corner,South Indian
Tall Blonde French,Fast Food
Lashiwalla,Beverages
Lashiwalla,Juices
Momo Mania,Momos
Momo Mania,Fast Food
Gowri Gajanand Sweets,Mithai
Gowri Gajanand Sweets,Street Food
Sri Sai Bhavan,South Indian
Chai Mania,Cafe
Chai Mania,Tea
Chai Mania,Beverages
Shake It Off,Beverages
Shake It Off,Fast Food
Madhu's Tandoori Kitchen,North Indian
Madhu's Tandoori Kitchen,Chinese
Madhu's Tandoori Kitchen,Biryani
New Tandoori Point,North Indian
New Tandoori Point,Chinese
East Delicious,Chinese
East Delicious,Thai
Rolls Plaza,Fast Food
Rolls Plaza,Chinese
Rolls Plaza,Rolls
Mirchi Bites- Spice Heaven,Hyderabadi
Mirchi Bites- Spice Heaven,Biryani
Wat-a-Biryani,Biryani
The Belgian Waffle Company,Desserts
Dhaba Estd 1986 Delhi,North Indian
Suchithra Biryani House,Andhra
Suchithra Biryani House,Biryani
Suchithra Biryani House,North Indian
Andhra Mess,Andhra
Andhra Mess,Biryani
Andhra Mess,Chinese
Waffle Stories,Desserts
Sea Pot,Seafood
Sea Pot,North Indian
Hind Ka Chulah,North Indian
Hind Ka Chulah,Biryani
Vegtaurant,North Indian
Vegtaurant,Chinese
Ramdev Sagar,South Indian
Ramdev Sagar,Chinese
Ramdev Sagar,Street Food
Kapoor's Cafe,North Indian
The Dhaba,North Indian
Marigold Fine Dine Restaurant,Continental
Marigold Fine Dine Restaurant,Asian
Flavours Radha Hometel,North Indian
Flavours Radha Hometel,Continental
Flavours Radha Hometel,Chinese
Flavours Radha Hometel,South Indian
Bhagini IRIS,North Indian
Bhagini IRIS,Chinese
Bhagini Kitchen And Bar,Andhra
Bhagini Kitchen And Bar,South Indian
Bhagini Kitchen And Bar,Chinese
Bhagini Kitchen And Bar,North Indian
Pulla Reddy Sweets,Mithai
Apsara Ice Cream,Ice Cream
Apsara Ice Cream,Desserts
Ashirvad Veg,South Indian
Chandu Andhra Mess,South Indian
Chandu Andhra Mess,North Indian
Chandu Andhra Mess,Andhra
Sai Foods,North Indian
Kabab Mirchi,North Indian
Kabab Mirchi,Mughlai
Kabab Mirchi,Chinese
Annapurna Bengali Restaurant,Bengali
California Burrito,Mexican
California Burrito,Fast Food
Facebake,Desserts
Facebake,Bakery
Kolkata Famous Kati Roll,Fast Food
Kolkata Famous Kati Roll,Rolls
Odia By Nature,Oriya
Food Point,North Indian
HIGH SKY,Continental
HIGH SKY,North Indian
HIGH SKY,Chinese
HIGH SKY,Arabian
Oven Fresh,Bakery
Oven Fresh,Fast Food
Sweet Chariot,Bakery
Sweet Chariot,Fast Food
Lassi Xpress,Beverages
Lassi Xpress,Sandwich
Lassi Xpress,Desserts
Palar Restaurant,Andhra
Palar Restaurant,North Indian
Southern Spice,South Indian
Wok With Chung,Chinese
Wok With Chung,Thai
Hyderabad Cuisine Multicuisine Restaurant,North Indian
Hyderabad Cuisine Multicuisine Restaurant,Chinese
Hyderabad Cuisine Multicuisine Restaurant,Biryani
Biryani Lakhnawi,Lucknowi
Biryani Lakhnawi,Biryani
Bengaluru Square,Chinese
Bengaluru Square,Beverages
Bengaluru Square,Andhra
Spice Boulevard,Cafe
Spice Boulevard,Continental
Spice Boulevard,Chinese
Hyderabad Cuisine,Seafood
Hyderabad Cuisine,Biryani
Hyderabad Cuisine,Hyderabadi
Hyderabad Cuisine,North Indian
Kerala Kitchen,Kerala
Kerala Kitchen,North Indian
Kerala Kitchen,Chinese
Kerala Kitchen,Kebab
Ammi's Biryani,Biryani
Ammi's Biryani,North Indian
Prajwal The Restaurant,North Indian
Rayan's Biryani,Andhra
Rayan's Biryani,Biryani
Rayan's Biryani,Beverages
Rayan's Biryani,Kebab
Oak Tavern,Continental
Oak Tavern,North Indian
Corprate Biriyani Adda,North Indian
Corprate Biriyani Adda,Chinese
Saha Cabin Bengali Hotel,Bengali
Supreme Biryani,Biryani
Karavalli Food Court,South Indian
Cafe of Joy,Continental
Nawabi Handi,Biryani
Nawabi Handi,Hyderabadi
Nawabi Handi,North Indian
Baba Fattoosh,North Indian
Andhra Box,Andhra
Andhra Box,Biryani
Andhra Box,Chinese
Rara Avis,Kerala
Rara Avis,Seafood
Rara Avis,Biryani
Rara Avis,Desserts
Kabab Ghar,Biryani
Kabab Ghar,North Indian
Kabab Ghar,Kebab
Nawab-E-Khana,North Indian
Nawab-E-Khana,Biryani
Wish Pot,North Indian
Wish Pot,Continental
Delhiciouss,North Indian
Delhiciouss,Sandwich
Swad E Punjab,North Indian
Shanghai Times,Chinese
ReadyBowl,Andhra
ReadyBowl,South Indian
ReadyBowl,North Indian
ReadyBowl,Biryani
Kailash Parbat,North Indian
Hello Curry,North Indian
Hello Curry,Biryani
Hello Curry,Mughlai
Daily Bread,Bakery
Daily Bread,Fast Food
Daily Bread,Italian
Tiffinmates,North Indian
Mayas kitchen,South Indian
Mayas kitchen,Chinese
Mayas kitchen,Chettinad
Vydehi Green Park Multicuisine Restaurant,North Indian
Vydehi Green Park Multicuisine Restaurant,South Indian
Vydehi Green Park Multicuisine Restaurant,Chinese
Cake Mane,Bakery
Krishna Bhojan,North Indian
Hot Attack Restaurant,North Indian
Hot Attack Restaurant,Chinese
Hot Attack Restaurant,Biryani
Café Delight,Cafe
Café Delight,Italian
RICE BAR,North Indian
RICE BAR,Biryani
Deccan Spice,Andhra
Deccan Spice,North Indian
Sweet Alley,Desserts
Indian Highway Restaurant,North Indian
Indian Highway Restaurant,Chinese
Indian Highway Restaurant,Fast Food
Delicious Desserts,Desserts
Chashni Sweets,Mithai
Chashni Sweets,Street Food
BBxR,Biryani
BBxR,Kebab
Best Biryani,North Indian
Best Biryani,Biryani
Best Biryani,Desserts
Sultan's Biryani,Biryani
Sultan's Biryani,North Indian
Spoon Me,Bengali
Spoon Me,North Indian
Spoon Me,Chinese
BBQ King,Fast Food
BBQ King,Chinese
BBQ King,Burger
BBQ King,Hot dogs
BBQ King,Sandwich
Apsara Ice Cream,Ice Cream
Apsara Ice Cream,Desserts
Meat And Eat,Fast Food
Meat And Eat,Burger
Vishwaas Take Away,North Indian
Vishwaas Take Away,Chinese
Hotel Bhuvaneshwari,North Indian
NYS Kitchen,North Indian
NYS Kitchen,Chinese
Creamiester,Ice Cream
Creamiester,Desserts
SLV Spice Up,South Indian
SLV Spice Up,North Indian
SLV Spice Up,Chinese
Sai Charan Tiffin House,South Indian
Cafe Knight,Fast Food
Cafe Knight,North Indian
Inhouse Burger,Burger
Inhouse Burger,Fast Food
Burritto,Chinese
Comfert Foods,North Indian
Ghar Ke Phulke,North Indian
Red Pepper,North Indian
Red Pepper,Bengali
Red Pepper,Biryani
Red Pepper,Mughlai
Chattorey - The Family Restaurant,North Indian
Chattorey - The Family Restaurant,Chinese
Happy Kitchen,North Indian
Happy Kitchen,Chinese
Mega Bite,North Indian
Mega Bite,Chinese
Mega Bite,South Indian
Mega Bite,Continental
Noibidya,North Indian
Noibidya,Bengali
Inhouse Burger,Burger
Inhouse Burger,Fast Food
Nawab Di Biryani,Biryani
Nawab Di Biryani,Mughlai
Mr. Cane,Juices
New Royal Treat,North Indian
New Royal Treat,Chinese
New Udupi Delicacy,South Indian
New Udupi Delicacy,North Indian
New Udupi Delicacy,Chinese
Dakshin Spice,South Indian
Dakshin Spice,North Indian
Dakshin Spice,Chinese
Dakshin Spice,Biryani
Moriz Restaurant,Arabian
Moriz Restaurant,North Indian
Moriz Restaurant,Biryani
Moriz Restaurant,Chinese
Moriz Restaurant,Seafood
New Food Magic,North Indian
New Food Magic,Chinese
New Food Magic,Biryani
Chef Baker's,Bakery
Basmati Restaurant,North Indian
Basmati Restaurant,South Indian
Basmati Restaurant,Chinese
Basmati Restaurant,Biryani
Ooty Chocolates,Desserts
Uma Bhai Restaurant,Oriya
Cafe Petu,North Indian
Cafe Petu,Sandwich
Juice Berg,Beverages
Juice Berg,Fast Food
Kolkata Famous Katti Rolls,Fast Food
Kolkata Famous Katti Rolls,Rolls
Flavors Restaurant,North Indian
Flavors Restaurant,Chinese
Kreme Delight,Bakery
Kreme Delight,Desserts
Delicious Cakes,Bakery
Baskin Robbins,Ice Cream
Baskin Robbins,Desserts
Zeee's,Fast Food
Zeee's,North Indian
Zeee's,Street Food
Amaravati Authentic Andhra Restaurant,Andhra
Amaravati Authentic Andhra Restaurant,Chinese
Amaravati Authentic Andhra Restaurant,North Indian
Amaravati Authentic Andhra Restaurant,Biryani
Nanda's,Andhra
Nanda's,North Indian
Nanda's,Chinese
Nanda's,Seafood
Nanda's,Biryani
Yumlane,Pizza
Yumlane,Fast Food
Konaseema Kitchen,North Indian
Konaseema Kitchen,Biryani
Konaseema Kitchen,Andhra
Konaseema Kitchen,South Indian
Master Chifoo,Chinese
Master Chifoo,Thai
Master Chifoo,Momos
Chaai Resto,Cafe
Chaai Resto,Rolls
Chaai Resto,Fast Food
O2 Juice Bar,Juices
O2 Juice Bar,Fast Food
Dhaba Social,North Indian
Cream and Fudge,Ice Cream
Cream and Fudge,Desserts
Sudhir Vada Pav & Paratha Center,Street Food
99 Caffe,South Indian
99 Caffe,North Indian
99 Caffe,Chinese
Bangalore Agarwal Bhavan,Mithai
Bangalore Agarwal Bhavan,Street Food
New Udupi Upahar,Chinese
New Udupi Upahar,North Indian
New Udupi Upahar,South Indian
Mangalore Lunch Home,North Indian
Mangalore Lunch Home,South Indian
Mangalore Lunch Home,Mangalorean
Kabab Magic,North Indian
Kabab Magic,Kebab
Kabab Magic,Fast Food
HomelyDelight,North Indian
Cafe Thulp,Cafe
Cafe Thulp,Burger
Cafe Thulp,Italian
Cafe Thulp,Salad
Ginger & Garlic,South Indian
Ginger & Garlic,North Indian
Ginger & Garlic,Chinese
Zeeshan,North Indian
Zeeshan,Kebab
Zeeshan,Biryani
Zeeshan,Rolls
Costa Biryanis,Andhra
Costa Biryanis,Biryani
Costa Biryanis,North Indian
Costa Biryanis,South Indian
SLV Grand,South Indian
Puchkas,Street Food
Puchkas,North Indian
Sankranti,Andhra
Desi Doze,North Indian
Desi Doze,Fast Food
Hunger Stop,North Indian
Hunger Stop,Chinese
Hunger Stop,Fast Food
Kakaji,North Indian
Andhra Ruchulu,Andhra
Andhra Ruchulu,North Indian
Andhra Ruchulu,Chinese
Andhra Ruchulu,Biryani
South House,South Indian
South House,Biryani
Oakleaf,Asian
Oakleaf,Continental
Oakleaf,North Indian
Oakleaf,Italian
Kidilum,Kerala
Kidilum,Chinese
Kidilum,North Indian
Mad Over Donuts,Bakery
Mad Over Donuts,Desserts
Mad Over Donuts,Beverages
Pot Biryani,North Indian
Pot Biryani,Chinese
Pot Biryani,Biryani
Pot Biryani,Seafood
MK Dabbawala,North Indian
Tandooriwala,North Indian
Tandooriwala,Mughlai
Friends Diner,Continental
Friends Diner,Italian
Friends Diner,Pizza
Sanjha Chulha,North Indian
Sanjha Chulha,Pizza
Sanjha Chulha,Fast Food
Cake 24x7,Bakery
Cake 24x7,Desserts
Raapchick,Fast Food
Raapchick,Burger
Chinese Street,Chinese
Mist n Creams,Ice Cream
Dawat,North Indian
Dawat,Chinese
Andhra Kafe,Andhra
Andhra Kafe,South Indian
Andhra Kafe,North Indian
Andhra Kafe,Biryani
Chikpet Donne Biriyani House,Biryani
Chikpet Donne Biriyani House,Kebab
Treat Restaurant,South Indian
Treat Restaurant,North Indian
Treat Restaurant,Chinese
Freshkhilao,Chinese
Freshkhilao,North Indian
Freshkhilao,Biryani
Freshkhilao,Juices
Hot Brixx,Italian
Hot Brixx,Pizza
Aashish Foods,North Indian
Apna Hotel,North Indian
Apna Hotel,Hyderabadi
Dawat Midnight Express,North Indian
Dawat Midnight Express,Chinese
Haveli,Biryani
Haveli,North Indian
Haveli,Mughlai
Chai Galli,Cafe
Chai Galli,Street Food
Organo Fresh,Juices
Taco Bell,Mexican
Taco Bell,American
Taco Bell,Fast Food
Celebrations 365,Desserts
Celebrations 365,Ice Cream
JLT Food,North Indian
The IT Crowd,North Indian
The IT Crowd,Burger
The IT Crowd,Sandwich
The IT Crowd,Chinese
Little Nature,Juices
Little Nature,Ice Cream
Little Nature,Fast Food
Sri Manjunatha Hotel,North Indian
YumYumSouth,South Indian
Fashion Knack Cafe,Cafe
Fashion Knack Cafe,Burger
Fashion Knack Cafe,Sandwich
Sindhuri Restaurant,Chinese
Sindhuri Restaurant,North Indian
Sindhuri Restaurant,Biryani
NYS Kitchen,North Indian
NYS Kitchen,Chinese
Konaseema Grand,North Indian
Konaseema Grand,Mughlai
Konaseema Grand,Andhra
Konaseema Grand,Biryani
Luscious Folks,North Indian
Nandi Mess - Feel Like Mom's,South Indian
Golden Rice,North Indian
Golden Rice,Mughlai
Golden Rice,Seafood
Golden Rice,Chinese
Butterly Cafe,Cafe
Orzuv,Kashmiri
